description,enrolmentkey,groupname
&#1058;&#1086;&#1084;&#1089;&#1082; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1089;&#1091;&#1076;&#1086;&#1087;&#1088;&#1086;&#1080;&#1079;&#1074;&#1086;&#1076;&#1089;&#1090;&#1074;&#1086;,fx7l6c,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1089;. &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,jp54bz,&#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,92s8gn,&#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072;,ft7l8l,&#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,ibb9a3,&#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,nutelv,&#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;&#1086;&#1093;&#1088;&#1072;&#1085;&#1080;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,hb0xd3,&#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;&#1086;&#1093;&#1088;&#1072;. &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,u0si8k,&#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1095;&#1077;&#1089;&#1082;. &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;,5rrfha,&#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;&#1072;&#1083;&#1080;&#1089;&#1090;&#1080;&#1082;&#1072;,6rd0vd,&#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;&#1072;&#1083;&#1080;&#1089;. &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1074;&#1083;&#1072;&#1089;&#1090;&#1080;,wxyl5l,&#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; &#1089;&#1091;&#1076;&#1077;. &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;&#1075;&#1086; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1103;,1xpp7r,&#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;. &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,v2lm46,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,5zvj7k,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;&#1090;&#1072;&#1088;&#1085;&#1099;&#1077; &#1076;&#1080;&#1089;&#1094;&#1080;&#1087;&#1083;&#1080;&#1085;&#1099;,dpy3f0,&#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;&#1090;&#1072;&#1088;&#1085;. &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,xoaw9a,&#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;&#1078;&#1080;&#1084;&#1086;&#1089;&#1090;&#1100;&#1102;,mkytkx,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;&#1078;&#1080;&#1084;&#1086;. &#1058;&#1086;&#1084;&#1089;&#1082;
&#1058;&#1086;&#1084;&#1089;&#1082; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072;,btvoor,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1058;&#1086;&#1084;&#1089;&#1082;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,gi2izz,&#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,lmg9wi,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1089;&#1091;&#1076;&#1086;&#1087;&#1088;&#1086;&#1080;&#1079;&#1074;&#1086;&#1076;&#1089;&#1090;&#1074;&#1086;,sit3gm,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; . &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,a359bz,&#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;. &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,zikq7o,&#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072;,50b0s0,&#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,2rbs4c,&#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,i7kz9h,&#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;&#1086;&#1093;&#1088;&#1072;&#1085;&#1080;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,x6eb37,&#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;&#1086;&#1093;&#1088;. &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,x0nvds,&#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1095;&#1077;&#1089;. &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;,9aq5aq,&#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;&#1072;&#1083;&#1080;&#1089;&#1090;&#1080;&#1082;&#1072;,tfzkha,&#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;&#1072;&#1083;&#1080;. &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1074;&#1083;&#1072;&#1089;&#1090;&#1080;,m950su,&#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; &#1089;&#1091;&#1076;. &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;&#1075;&#1086; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1103;,vg4sf4,&#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;. &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,1isuhg,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,j0xwoc,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;&#1090;&#1072;&#1088;&#1085;&#1099;&#1077; &#1076;&#1080;&#1089;&#1094;&#1080;&#1087;&#1083;&#1080;&#1085;&#1099;,0c1z87,&#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;&#1090;&#1072;&#1088;. &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,s09ggs,&#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;&#1078;&#1080;&#1084;&#1086;&#1089;&#1090;&#1100;&#1102;,l02fxd,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;&#1078;&#1080;&#1084;. &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1050;&#1072;&#1079;&#1072;&#1085;&#1100; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072;,n8azp6,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1050;&#1072;&#1079;&#1072;&#1085;&#1100;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,wy97ot,&#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,etwcl1,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1089;&#1091;&#1076;&#1086;&#1087;&#1088;&#1086;&#1080;&#1079;&#1074;&#1086;&#1076;&#1089;&#1090;&#1074;&#1086;,6ft51l,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; . &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,g2yfhy,&#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;. &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,9qmka9,&#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
&#1052;&#1086;&#1089;&#1082;&#1074;&#1072; &#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072;,571tpy,&#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1052;&#1086;&#1089;&#1082;&#1074;&#1072;
